portfolio_id,new_portfolio_id
56708458-c8fa-4672-a37b-c0a8e6ce69c9,6de624c5-c768-49fc-b14b-dab213f2a7fc
c4c9ce80-e4dc-4ae5-b4d1-6b5ff2b09b40,46e11df7-33e3-49f8-ba8d-ebce976ab4ac
3adae4c4-7324-4a88-90c5-3df5495c7cdf,dcd60432-f23d-42b1-bef0-25ee1a46bd1d
2f9164e1-5b6c-4a8b-aded-44a40e3f0a06,634d759f-d216-450a-9c30-208efc35ce02
1414e8a8-4dfd-4465-add9-f2f2a9e73a97,f57d2447-48af-44ed-b1a5-2928face842e
1edafc0d-4a9c-4cf6-989e-b3b85c321424,8cda8227-0e27-4067-b154-dadc025626b4
42b273c3-2f4f-49f3-b6bc-197da7eab1ac,b277607b-4c00-4f7d-b7f6-285ddf0bfe80
01ac9a06-95d2-48c9-951c-a682d1af3313,5bb7016a-15a4-40a1-b982-738cd071e9ac
d2476810-3cf5-486d-9b61-e1da810b2dec,f9d34e97-aa2f-4922-a4f4-f1297ec12158
25b23128-c326-4b3d-8bdc-58e3c721bb70,ce604738-7d50-455e-8702-d83d8f510bf9
70149d53-8edd-4c75-9965-8b80e9090874,9f08f587-6cd5-4683-8e86-4c0b9979b9d5
bfc7ffc9-34f1-4c4c-9844-650fe3c065c1,90331ab9-1d64-48b7-8820-118aee758158
5d831713-cfa2-4efc-bd59-daf2198585e6,bcd43012-fe7e-4697-bc99-9713fb29b5c5
109dfa89-4d81-4b7c-bed8-348ee47d6601,d9769376-f5ce-40a1-9e41-9dd1b58f845f
ac420b61-2a9c-4a83-b507-1619460c0182,cfff1f63-ab6d-4927-9e79-0ec1c003dafe
d1fceef0-c6a5-4902-92c0-90ebff2d8a4e,9f893662-b2d1-4877-afd6-04297dd09940
51a60710-a7b4-402e-9a7b-20e7e49738a1,0b394048-6fed-46e7-90d3-a3972fbf5880
55afeb48-a294-49d6-abd4-c84a1ae1be36,fc672f18-b2fe-486e-8b82-2b127c50fe96
