portfolio_id,downloaded_count
ef16e402-032d-4825-ac10-956e14d50dc9,1
f9525837-b84f-42f2-b281-ca8530a05642,1
70931106-43a3-4e38-bdf2-2c669a0acfa6,1
b45b7ad0-0170-4b0a-b08e-cdc342d65b6f,2
f0e80a3f-e8d4-48bd-a89b-fd98a4dfedec,1
984a30bf-adb7-4595-8552-71621dd3a72e,1
02541cc3-3b01-47af-bbe1-9eff8d23502e,1
13d1d145-0b0b-40ea-96ca-47418c114787,1
d3f14d65-8e9e-46b7-baa7-66deb72ba597,1
a5b63416-fe2f-4a99-b194-22488bc5130d,1
021795ed-b189-4831-bb50-1c14f615ebab,1
6eb59545-fc60-45e3-b495-9d2c2534b501,1
01a78d79-87ce-4b1d-bb8c-00f2f28669ec,1
f9ed8952-e441-4136-aa4a-d40d779d0bcb,1
81b9313c-0bde-4c70-8128-ad76dba264e9,1
89c4dbee-ba66-43d5-9879-99dbed4e794d,1
3721a2c0-b993-4119-ab23-8f0a72519319,1
f9a1f7b0-a446-45fc-bced-72a0d57a5d01,1
316417d9-b1f9-4617-81a0-d58d4ae13c9e,1
89cbcf2b-c795-4587-8b1d-18af41fcf5ea,1
d5132727-c29a-4bef-96a9-88c65dad39d0,1
82f33c43-3b91-47bc-bd0f-9f8d3f75b552,1
d9dae5ad-ccac-4402-a37e-b21e306dc0ef,1
ab199817-2702-47ed-84f8-6617e3299721,1
a9d89f88-a4f8-41fe-aca5-5f920c3a9a67,1
0c265c83-90a9-421e-bb9a-dcc4ff65edb3,1
7c17a90b-ed24-4601-a2f2-7ba8f07980f2,1
5a780dd1-88fc-48d4-89a0-eab5a078f8ee,1
778b9ba6-e544-40df-8537-dae273873f86,1
d10c4cf5-47fa-4860-9174-29e25f6de5fb,1
4cd98940-f327-4f64-a119-8ea008ea8b1b,1
1b559c4d-403a-4508-9b94-3a7e7cd5ed89,1
fa681628-7929-4de7-9212-dc74c2dcc148,1
76e3f224-e287-4da4-99a9-16c5cc0f173a,1
3d76ac84-2248-41bc-8bcb-9ffa5b3e7361,1
1452663d-d4de-4479-954c-f018b7a2f62b,1
eeaad2ce-6505-48c5-90ad-c3c613477824,1
af890513-b5a5-4991-98d3-5675a2a58e74,1
03c72102-a34b-42a8-b873-2b74a324c710,1
952f8ba8-1dfb-47a6-8805-f75c8623fc7b,1
e726765c-47bd-4938-a009-710b9ccc22a6,1
aa7f0335-5b89-498b-b264-0f689f54e6ea,2
4d0fd00f-7272-4181-a8c6-8d1727aed3e2,1
0e24c946-e85f-4ef0-b031-a2cd163fc332,1
f5f39b65-04ae-45ae-8176-29d3b31e4d3d,1
21a81e70-9077-4ffd-bfec-5211522b6e9d,1
aa9461c2-54bc-422f-b330-39019ada3049,1
f796cdf0-a422-4655-9374-3fb99a3ab9b0,1
576edd50-43a0-4912-91e8-6087765182bd,1
45fd1638-55e9-49ad-a36f-d1283800f515,1
090c92ac-c9f1-40f5-b43d-47ca3509a8bb,1
27ec7c13-13a6-4507-ae43-fc21aa6a487e,2
858c5de4-993f-4ae0-bc21-c6bd7554f89b,1
fb9fc6bb-ccd2-4177-af07-910316189da3,2
6206a5a5-d3b4-4b74-b2ae-819c3818ff6c,1
06633b1f-2eeb-4f64-bb88-8538e8802bd0,1
8894e319-f502-46ce-a5c0-1eba814c32e9,1
d3db98f3-99b1-4866-8fe5-cd4dbbefa5e8,1
4959377a-9ff2-4f68-bdd4-6bdf62357ecf,1
0cec9add-05d0-46d6-8680-12b2432f0c6a,1
829eae64-306f-43c5-bc37-994096434aef,1
aa7cbb60-a4c4-4398-905f-b342b743b427,1
d9178fa1-c7a3-4b5c-8f78-91a8ca03f794,1
57e19eaf-7c12-4395-a52e-ac70f307e994,1
096cd4be-7eec-4893-9af7-42d6bc5954a0,1
2d0d57ab-68de-48df-a7bb-690af9e66ea4,1
9d20ba4a-4a12-4a9d-94c8-97ed8b8b677a,1
879d51b7-817c-4330-8a01-442e24caa344,1
22494db9-ba14-4b56-9125-040da2c1ba1a,1
918e15a5-098f-428a-ae43-ebdc634bb8e5,1
4cf9c2b1-7383-4c88-ac46-f23a1c998ffe,1
b7bb97b0-93ab-4a30-9eff-554453951052,1
e2d6dbd5-7868-4566-ad4e-a438ca48e2b1,1
ea74766a-6bb4-4828-a3f3-19b326b09886,1
5558bcb6-2e0a-4f90-ad59-9a01289c337f,1
d547b0f5-fd2f-4728-8acc-d9daddc2785e,1
10d22839-e1bc-44a4-9733-cf4cf778f26f,1
df4e59f9-c2ad-44c1-b12a-9eab75914760,1
accf99e4-6223-4212-adfc-83e8a7311b0a,1
d64a41e1-26ab-4547-ab74-55e3e97778fe,1
e94f25aa-bb87-465a-be9c-9eab40a68b42,1
889dfcda-659c-4b05-ae77-656de27db95f,1
74409d0c-337b-47db-835b-803b34199760,1
a22ceca4-5399-454e-8c60-b97c5ab1dc3c,1
f0f4a4ed-99b8-4c9c-834b-c5bf7e797f5a,1
e51ade9d-0807-4582-94ff-52212d8d6756,1
c943daa1-be2c-4ec9-8b17-5bca7a73571c,1
b90f2a6d-c6b2-4791-91fc-d63c205dde6c,1
226027cd-417c-4eb4-8268-386ee9d3963f,1
0f3aa0f1-ea69-4e00-be01-877404a20c59,1
dd37faf7-59d2-4e97-93a8-98198154ab75,1
b2379a3e-d102-4820-beb0-b110a249d7a1,1
252f0832-79de-49a6-b28a-c1c4bfc2c2fb,1
32df6924-5d92-4401-88ba-ec71e7bde8a3,1
77dc909d-5d07-4208-881c-a4ecb6fc4b8c,2
abecef1e-63ed-4218-87a4-5b5be64e0160,1
97071e65-5705-4cb2-8c03-3a0f492109a1,1
b2c21e8e-85b9-4440-832e-5ed756c906dd,1
95373324-b9e2-4dec-8969-aa63551801b3,1
c4344086-f950-49f1-b9a5-cc512bf746be,1
aa0030c8-d408-4a7d-9db8-ac7200d574d3,1
42a5a995-3a55-4958-ab86-b5ad5e058785,1
48bf6fee-0f4e-4124-98df-72fa65c48137,1
bc2754e6-2904-4bce-b6d4-2cc9c7b2e482,1
3e227aeb-c94c-49e7-9391-d24a69ae98b1,1
0913fb8b-7589-4db4-be93-c706fd40dff7,1
ce7146af-8b39-47f2-89bb-d9269057fcba,1
9e202686-2f3d-443d-a84d-20aead5eeed6,1
9f79a9e2-57c9-4738-baea-c62a5bce6339,1
2c5ec704-c7dd-4da7-8181-92d32ad1a9b0,1
e44ae153-f8ec-4dad-b814-cefa54dc4714,1
fbcb7bf2-81af-4b63-a33e-f2f31bfed4ac,1
a8b7800a-e78d-4ec3-b041-cc7363acd3e5,1
42ececfa-9132-4621-af44-565416574286,1
10a14e18-69e0-4baa-b05b-cb90f6cc8d1a,1
eb267822-d80c-4c7b-b1ea-b6119a638a33,1
2e98f0b8-5834-43d6-b8f1-4d805c2765a2,1
fcfeade0-c45d-48c7-863d-de0c74f22d7c,1
baec7227-d20d-479a-9b4f-2e3f17922c9d,1
4ec43bec-7a62-4795-87bd-56b2f3377716,2
10dfb867-a8d7-420a-aae1-29809f6f6321,1
a84ab9a4-d1ec-478c-be77-0486e6d143c9,1
254d7652-ab69-4949-8bf0-589794c93707,1
1fee4d11-78cf-4445-b49e-41258f666636,1
94359ead-b2be-444a-bebf-166839054dfd,1
a349ca3b-4eee-4b7a-93ea-23ce92c96fdc,1
49d2c078-1816-4ff2-bf9c-ed83992f7647,1
db39a86f-0029-4106-950e-16496e0ac500,1
b6729736-6975-4259-be4d-df342d63148d,1
181ef237-ba5b-4090-b2f6-da5002ef81b8,1
18e8544f-52a7-45f4-a24d-7f64c42031b3,1
e5ef810f-4f9c-4e69-8caf-582bf888db7b,1
cc0aa10e-7b4b-4b7d-bd61-4388608150c8,1
f2d9a864-869e-4c7e-bace-81c1ad7d88bf,1
acef91bc-e0b9-4ad3-821a-63273e38715e,1
38df3a0d-3288-42f1-a26d-da5040dac912,1
e8e41d15-ac9c-42a4-8e31-1dd5529107f8,1
be5136f4-c200-46d2-a9b2-445f19932994,1
354d59c1-c555-47da-a984-f687d8e393f7,1
a35981b8-d95a-4a9d-af54-8acae8acfdc1,1
f73463a6-c83d-43f8-8be4-601e8cb25789,1
e63c6109-f465-4f48-978f-73822615bdea,1
b8398447-ba2c-4ad8-9d8d-d0cd624a910e,1
df3aab15-5718-4a5a-9466-e3aa0f9d4a39,1
93f06b73-cb35-4751-9110-3c84b7f5187a,1
580997a5-cdac-443e-a6c9-ce88f5a196bc,1
8f4318ae-5b5a-45e9-9713-c57565b264bb,1
faa032fa-2a44-4f2b-946b-abbd5d918fd9,1
894f0274-9a4a-48c3-a3fd-25f8fe1d4733,1
29cf2c61-b770-4043-b7af-b147d16deadd,1
757013db-4b30-4db5-a7f4-bfd2db478007,1
4085f539-bfee-478b-b734-e697172cd9f8,1
6f632195-6163-4598-88f9-927c45f8a71a,1
2060e001-5ec4-4b00-9aca-5d7493609376,1
67e13a8e-fa10-49c3-b2e2-9d9f413faddd,1
1a4b672e-6c83-4646-8205-5ca4e4a6fdb4,1
b33bc250-8a26-4cae-a21a-01e74c767aac,1
8dd2d4f8-af73-42d6-b91a-3f3389c5eb0e,1
033977b7-2b2c-4aef-9213-dd89b1a776cc,1
44e28774-0d7b-4d5f-9da9-d53716575c68,1
759f9d51-be2b-409f-b4a6-ebbefb8c663e,1
e46bb94a-0871-4c08-a326-2500bd11940d,1
4f35e27a-90f4-4bdb-be9b-1405d83da83b,1
0fc109cb-3b45-46b9-b22b-637632a300a9,1
72dc4ce9-527f-4c2d-9c9e-b022ffd16d89,1
6c8aa40d-5d61-4a05-af30-81dddceb3338,1
a3c53ad9-695e-4523-ab19-46a95598b889,1
b5c43f1d-e586-4eb2-ba63-47fccf04097c,1
eafd2ad7-e2fb-4924-a539-6b9377ccb33e,1
402de0f7-dc29-4a08-9ef9-f2fd1fb584fa,1
9a2eb258-3b76-48d6-bb3b-477283f257e5,1
90a61524-9a50-4849-aba4-aeec983cfeab,1
77c49707-c283-4ee1-bea8-77303f656d68,1
67316603-9f7f-41a9-835f-79f8f84ccba0,1
2ba4203a-d0d7-40af-bf38-8a49a3cf3242,1
c84ff040-a413-4a4d-a087-f280ec31a907,1
a659c75f-e139-4615-88cb-47fa87c1bc01,1
dbec92da-d8cb-48c1-a3da-c782a047af43,1
a2c2e6f9-7561-4c0e-a445-e86121a9dc1a,1
491f4460-052a-4238-8ee6-b0d9aab15c99,1
cef8666a-2228-454e-a362-de1af584fe96,1
158b3409-b5da-4150-baa4-547199ca6354,1
f5394586-f077-46ea-adf5-26a4d793db79,1
5366c07d-b93e-46eb-964f-7f6689729acc,1
bccda8da-eb12-405e-850d-26c8cbc418bd,1
3c239bae-48d6-4e51-a93f-25b295adf339,1
8d332505-bdf7-4a70-8da9-059063a6adcf,1
