portfolio_id,documents,new_portfolio_id
5973c19f-42b7-4d8c-b51b-6a084879d413,1,9b4fc822-6114-4361-a91b-e1509c086c02
ff38d8fe-1a60-476a-8a52-49d1ea595a37,1,fe6b522e-38ae-4508-b0b3-c18192f2b79b
2c888391-d8ba-4825-928c-6dfee0b93bc9,1,4cc8c34f-7d7c-48ac-90fd-c2c9ba5d5402
b7afb498-1f57-4c4a-b864-23ec9ff6ea16,1,e8a22c71-4736-4764-9084-4868073e7fdc
2f2caaba-fe3d-4a79-b473-0c902e9f0d5f,1,f864de2d-7a43-43b7-b86e-cc372d3188ad
bd59c4d9-bf7a-4b4e-b53b-a31da22612a1,1,263fad5b-b0ae-4f6c-817f-a313b68c0f68
dcc11094-9e06-47cd-a086-85fe50174f3e,1,7e62b95c-7c21-40c9-b00a-39fc6a4afaba
b3e8513d-ffc2-44a4-968d-9882a5feb7ee,1,b82985bd-ae22-4057-9f98-eb328dfce6b9
3804ffb8-ee77-48a8-90ef-1fd24299a86c,1,013a320d-a711-418d-bb76-b61fe00d7107
78e521b0-3e44-4c62-8a01-35d4c60cd2a9,1,4f957c23-1526-4363-8bcf-f3ac8a927516
eccb2fd4-4210-474c-bdde-684233697ab0,1,b47fe880-0129-424f-af0a-3efd98f5f38c
7658cdaa-09d8-4fbf-92d8-c2eae05ee212,1,c8fbf289-eb9b-4824-97b4-d9d99f58923c
89988446-54e7-466e-9b7b-7e5ff5ee7827,1,380ca0cf-9bbd-463a-9cd6-d929089b3089
d5ca1091-3659-414c-97f4-b4ff644360ee,1,da538e63-86c3-4f17-a3b9-bb9ee2390704
994f9d77-3427-48ab-bede-c6844b8a8fc8,1,8efb3c45-cc5e-4079-9566-4d7618eb15ca
389b467b-259b-4ae1-b954-c9e6f73b02c4,1,e45f926a-e3ae-47b2-89b5-653175f1f66f
c9b54238-043b-4903-b26e-8d3c7dd88d37,1,6ff19b64-5d78-4346-93d1-b9c80d37eb05
89a091a4-6de0-4a4d-9a53-6ad5fbcdd3f7,1,87322a9b-143e-4459-8a2a-a912bf1bd35b
54cda5dd-0b5e-4ba9-9181-cd88ac826e30,1,0fda1d15-e334-4389-8dd6-a9719eea0411
c8decfbd-ff6f-4583-90a7-ad42ec29bb40,1,2594809b-7c22-454d-9562-ce494894bd80
5f70bfe3-1682-4e33-b958-e7dd6f49e314,1,f82c4d38-3863-4290-80a3-fd488af847d7
9e681a2f-9b10-4bdf-82ca-ca75ec243c5c,1,9e0cc9a4-838a-4f7c-af00-636a8d4057b7
d3611fee-4fab-445a-aac7-589f09db753a,1,5ca63e7e-d12c-46d0-9696-a7566669b5ac
184013a0-7e8e-48ea-8708-3274277eb544,2,91b3b097-770a-4748-b254-1979d058f936
f3f584f0-f062-4d5d-8a04-c88c77bab5fa,1,ead3c1b7-33fa-4b12-9aa1-13c89830ea5d
f04fee4d-8ee8-4ba5-89a1-c61c03d1d405,2,9e8145a9-7162-4cdb-92aa-97aa66d1116f
9e8c7992-780f-4319-b7a2-c9d57b6056c5,1,347705ba-58e7-4e26-830d-5148df4b4436
3da9c9b0-f9ec-4c2f-b4c8-f65d1ff6aa75,1,0518c176-3bf3-4f8a-a250-f24805681764
38a0cd2a-b7e7-4d0a-9b60-c4eb1752c793,1,21a93299-dc87-4c2c-8d49-a7fbc7e119e4
037f7b34-5088-45d6-a0e5-9683c0118658,1,ef2f779b-ac81-474f-84fd-9cf80df32ee6
